fixture,rung,iter,boundary,domain_elems,domain_nodes,elem_frac_k0,elem_frac_k2,elem_frac_k4,elem_frac_k8,node_frac_k0,node_frac_k2,node_frac_k4,node_frac_k8
cli_snapshot,0,1,0,39672,43290,0.078821,0.161928,0.275711,0.582249,0.091060,0.176507,0.291407,0.594779
cli_snapshot,0,2,0,39672,43290,0.194848,0.394586,0.599945,0.857557,0.233102,0.412636,0.614507,0.862301
cli_snapshot,0,3,0,39672,43290,0.185748,0.502722,0.761368,0.964786,0.243844,0.533911,0.773389,0.965997
cli_snapshot,0,4,0,39672,43290,0.195629,0.406584,0.609246,0.812563,0.232571,0.429961,0.622892,0.818249
cli_snapshot,0,5,0,39672,43290,0.073629,0.148669,0.254739,0.542599,0.086325,0.163687,0.271333,0.556595
cli_snapshot,0,6,0,39672,43290,0.255293,0.475398,0.679346,0.892292,0.287480,0.497644,0.691522,0.895934
cli_snapshot,0,7,0,39672,43290,0.061706,0.129008,0.225978,0.502319,0.073250,0.143082,0.241950,0.516817
cli_snapshot,0,8,0,39672,43290,0.298397,0.508974,0.700746,0.912482,0.332201,0.525410,0.712081,0.915685
cli_snapshot,0,9,0,39672,43290,0.181211,0.509679,0.790028,0.998815,0.235181,0.560014,0.805244,0.998914
cli_snapshot,0,10,0,39672,43290,0.352566,0.561479,0.716652,0.908096,0.379995,0.578355,0.728321,0.912128
cli_snapshot,0,11,0,39672,43290,0.258217,0.600449,0.857582,1.000000,0.321391,0.648972,0.880180,1.000000
cli_snapshot,0,12,0,39672,43290,0.319117,0.514721,0.651316,0.820301,0.349365,0.532363,0.663294,0.826126
cli_snapshot,0,13,0,39672,43290,0.324284,0.648367,0.868976,1.000000,0.384846,0.693232,0.882767,1.000000
cli_snapshot,0,14,0,39672,43290,0.352364,0.531206,0.647207,0.806211,0.380134,0.547494,0.658882,0.812151
cli_snapshot,0,15,0,39672,43290,0.375025,0.706367,0.907239,1.000000,0.436290,0.747817,0.916609,1.000000
cli_snapshot,0,16,0,39672,43290,0.374546,0.542625,0.650736,0.806539,0.398799,0.558420,0.662208,0.812474
cli_snapshot,0,17,0,39672,43290,0.404441,0.716324,0.932320,1.000000,0.463710,0.765696,0.942227,1.000000
cli_snapshot,0,18,0,39672,43290,0.383066,0.547792,0.655147,0.809589,0.406353,0.563502,0.666366,0.815385
cli_snapshot,0,19,0,39672,43290,0.460073,0.768703,0.956997,1.000000,0.519843,0.815731,0.964079,1.000000
cli_snapshot,0,20,0,39672,43290,0.411525,0.566067,0.666944,0.825797,0.435389,0.581289,0.678078,0.831393
cli_snapshot,0,21,0,39672,43290,0.498588,0.790532,0.956796,1.000000,0.557219,0.834997,0.964449,1.000000
cli_snapshot,0,22,0,39672,43290,0.441999,0.588450,0.683353,0.836207,0.470825,0.602657,0.693717,0.841280
cli_snapshot,0,23,0,39672,43290,0.542599,0.822268,0.956871,1.000000,0.602379,0.856202,0.963410,1.000000
cli_snapshot,0,24,0,39672,43290,0.470332,0.612371,0.704149,0.848533,0.500785,0.625895,0.713560,0.852991
cli_snapshot,0,25,0,39672,43290,0.595861,0.844399,0.954678,1.000000,0.655094,0.869831,0.959968,1.000000
cli_snapshot,0,26,0,39672,43290,0.520090,0.693461,0.830964,0.965744,0.557057,0.721714,0.851929,0.972049
cli_snapshot,0,27,0,39672,43290,0.605893,0.835299,0.945024,1.000000,0.664703,0.858535,0.951097,1.000000
cli_snapshot,0,28,0,39672,43290,0.570276,0.740245,0.858414,0.979431,0.605105,0.765650,0.873296,0.983576
cli_snapshot,0,29,0,39672,43290,0.611691,0.827132,0.947973,1.000000,0.663433,0.850612,0.953430,1.000000
cli_snapshot,0,30,0,39672,43290,0.639796,0.796406,0.891132,0.995765,0.674012,0.816863,0.901201,0.996789
cli_snapshot,0,31,0,39672,43290,0.624924,0.868950,0.980314,1.000000,0.686764,0.893440,0.983322,1.000000
cli_snapshot,0,31,1,39672,43290,0.624924,0.868950,0.980314,1.000000,0.686764,0.893440,0.983322,1.000000
