iter,mean_abs_drho,max_abs_drho
1,0.000000e+00,0.000000e+00
2,1.226127e-05,1.162255e-03
3,1.696886e-05,1.208581e-03
4,3.358830e-05,2.210529e-03
5,2.586152e-05,4.284162e-03
6,1.788191e-05,2.751341e-03
7,1.534892e-05,1.323405e-03
8,1.618669e-05,3.493917e-03
9,1.985786e-05,5.488222e-03
10,2.121826e-05,5.272858e-03
11,1.555305e-05,3.658788e-03
12,1.181319e-05,1.774551e-03
13,1.055939e-05,1.708321e-03
14,9.870960e-06,1.431788e-03
15,1.010073e-05,1.592121e-03
16,9.884716e-06,1.349125e-03
17,9.069096e-06,1.487234e-03
18,9.668772e-06,1.749166e-03
19,1.023449e-05,2.254794e-03
20,1.194588e-05,3.453827e-03
21,1.589163e-05,5.037897e-03
22,1.935720e-05,6.938936e-03
23,2.158373e-05,8.270107e-03
24,1.980757e-05,6.641150e-03
25,1.451573e-05,4.954589e-03
26,1.226841e-05,3.895400e-03
27,1.019656e-05,3.219451e-03
28,8.030974e-06,3.066176e-03
29,5.171927e-06,1.274185e-03
30,2.715516e-06,1.150008e-03
31,3.105923e-06,1.103880e-03
32,3.190773e-06,1.238732e-03
33,2.982660e-06,1.089312e-03
34,2.687270e-06,9.258848e-04
35,2.571822e-06,8.270929e-04
36,2.523870e-06,7.928557e-04
37,1.870534e-06,6.803856e-04
38,1.552752e-06,5.213143e-04
39,1.456858e-06,4.843589e-04
40,1.270417e-06,3.982338e-04
41,1.105287e-06,3.209554e-04
42,9.648952e-07,2.579930e-04
43,1.024500e-06,2.173039e-04
44,8.085623e-07,1.749317e-04
45,6.549840e-07,1.421099e-04
46,5.491254e-07,1.236788e-04
47,4.738597e-07,1.081272e-04
48,4.238458e-07,9.758289e-05
49,3.865548e-07,8.535105e-05
50,3.351794e-07,7.606466e-05
51,2.952603e-07,7.234271e-05
52,2.723077e-07,6.560925e-05
53,2.516671e-07,6.002591e-05
54,2.329253e-07,5.526676e-05
55,2.158409e-07,5.111622e-05
56,2.002163e-07,4.743033e-05
57,1.858844e-07,4.411587e-05
58,1.727088e-07,4.110281e-05
59,1.605718e-07,3.834389e-05
60,1.493924e-07,3.583186e-05
61,1.390787e-07,3.361359e-05
62,1.295334e-07,3.153719e-05
63,1.206890e-07,2.959309e-05
64,1.124882e-07,2.777140e-05
65,1.048787e-07,2.606365e-05
66,9.781719e-08,2.446209e-05
67,9.125787e-08,2.296047e-05
68,8.516094e-08,2.155194e-05
69,7.946731e-08,2.071593e-05
70,7.498543e-08,2.026728e-05
71,7.130570e-08,1.986212e-05
72,6.796352e-08,1.948276e-05
73,6.562691e-08,2.158561e-05
74,6.405254e-08,2.350609e-05
75,6.256242e-08,2.489594e-05
76,6.276000e-08,2.595723e-05
77,6.281361e-08,2.676192e-05
78,6.271341e-08,2.737162e-05
79,6.268719e-08,2.783003e-05
80,6.269428e-08,2.811838e-05
81,6.263014e-08,2.835117e-05
82,6.255776e-08,2.853675e-05
83,6.258866e-08,2.865490e-05
84,6.281153e-08,2.872120e-05
85,6.295292e-08,2.874812e-05
86,6.301753e-08,2.874353e-05
87,6.302951e-08,2.871308e-05
88,6.299243e-08,2.866293e-05
89,6.290972e-08,2.859562e-05
90,6.279767e-08,2.851541e-05
91,6.265202e-08,2.842444e-05
92,6.248652e-08,2.832515e-05
93,6.230272e-08,2.822166e-05
94,6.210333e-08,2.811333e-05
95,6.188815e-08,2.800247e-05
96,6.166323e-08,2.789084e-05
97,6.143885e-08,2.778003e-05
98,6.120814e-08,2.767249e-05
99,6.097536e-08,2.756896e-05
100,6.089081e-08,2.747179e-05
101,6.088512e-08,2.738082e-05
102,6.094706e-08,2.729940e-05
103,6.113186e-08,2.723159e-05
104,6.151905e-08,2.717495e-05
105,6.218145e-08,2.713581e-05
106,6.319329e-08,2.711642e-05
107,6.458247e-08,2.711953e-05
108,6.657329e-08,2.712905e-05
109,6.952459e-08,2.718738e-05
110,7.348739e-08,2.729839e-05
111,7.833224e-08,2.743538e-05
112,8.410796e-08,2.758238e-05
113,9.126378e-08,2.938930e-05
114,1.001280e-07,3.205394e-05
115,1.106227e-07,3.519031e-05
116,1.229519e-07,3.888551e-05
117,1.374041e-07,4.315244e-05
118,1.545699e-07,4.807954e-05
119,1.748639e-07,5.376817e-05
120,1.986059e-07,6.033634e-05
121,2.262491e-07,6.819022e-05
122,2.584276e-07,7.741053e-05
123,2.956805e-07,8.804346e-05
124,3.378395e-07,1.001440e-04
125,3.867166e-07,1.141043e-04
126,4.445570e-07,1.304506e-04
127,5.114404e-07,1.493110e-04
128,5.883005e-07,1.709458e-04
129,6.769997e-07,1.958822e-04
130,7.795093e-07,2.246245e-04
131,8.980392e-07,2.577557e-04
132,1.032502e-06,2.928750e-04
133,1.182456e-06,3.336382e-04
134,1.358550e-06,3.841193e-04
135,1.572162e-06,4.463364e-04
136,1.817950e-06,5.169414e-04
137,2.095225e-06,5.936798e-04
138,2.414765e-06,6.823366e-04
139,2.783018e-06,7.846350e-04
140,3.207419e-06,9.025883e-04
141,3.696536e-06,1.038532e-03
142,4.260242e-06,1.195165e-03
143,4.909921e-06,1.375591e-03
144,5.658692e-06,1.583389e-03
145,6.521681e-06,1.826495e-03
146,7.439593e-06,2.092068e-03
147,8.116529e-06,2.314366e-03
148,8.781097e-06,2.502117e-03
149,9.706083e-06,2.704675e-03
150,1.064652e-05,2.915132e-03
151,1.179887e-05,3.191026e-03
152,1.304995e-05,3.567350e-03
153,1.435548e-05,3.980206e-03
154,1.573042e-05,4.475996e-03
155,1.661075e-05,4.816340e-03
156,1.679749e-05,4.916937e-03
157,1.697726e-05,5.145476e-03
158,1.774911e-05,5.511996e-03
159,1.868106e-05,5.908370e-03
160,1.892848e-05,6.450740e-03
161,1.913685e-05,6.991414e-03
162,1.931095e-05,7.370113e-03
163,1.895808e-05,7.437754e-03
164,1.853565e-05,7.271834e-03
165,1.653777e-05,8.007199e-03
166,1.458424e-05,8.532822e-03
167,1.277667e-05,8.804625e-03
168,1.181499e-05,8.712855e-03
169,1.137820e-05,8.575457e-03
170,1.095143e-05,8.232305e-03
171,1.052727e-05,7.930768e-03
172,1.018755e-05,7.658489e-03
173,9.191541e-06,6.467388e-03
174,6.777741e-06,3.651847e-03
175,4.616832e-06,2.973730e-03
176,2.882300e-06,1.709858e-03
177,1.551366e-06,7.093057e-04
178,7.072486e-07,5.210182e-04
179,6.228717e-07,4.367631e-04
180,5.688178e-07,3.567069e-04
181,5.244682e-07,2.955860e-04
182,4.815459e-07,2.502539e-04
183,4.380548e-07,2.174101e-04
184,4.003540e-07,1.903652e-04
185,3.673696e-07,1.679241e-04
186,3.382574e-07,1.491577e-04
187,3.123547e-07,1.422334e-04
188,2.891372e-07,1.352688e-04
189,2.681879e-07,1.283571e-04
190,2.491751e-07,1.215685e-04
191,2.318309e-07,1.149562e-04
192,2.159387e-07,1.085580e-04
193,2.013222e-07,1.023982e-04
194,1.878363e-07,9.649241e-05
195,1.753591e-07,9.085187e-05
196,1.637905e-07,8.547719e-05
197,1.530434e-07,8.037031e-05
198,1.430446e-07,7.552668e-05
199,1.337669e-07,7.094008e-05
200,1.251164e-07,6.660387e-05
201,1.170393e-07,6.250964e-05
202,1.095322e-07,5.864757e-05
203,1.025322e-07,5.500730e-05
204,9.597992e-08,5.157933e-05
205,8.984514e-08,4.835354e-05
206,8.410032e-08,4.531890e-05
207,7.871966e-08,4.246676e-05
208,7.367981e-08,3.978671e-05
209,6.895884e-08,3.727024e-05
210,6.453667e-08,3.490723e-05
211,6.039411e-08,3.269023e-05
212,5.651406e-08,3.060896e-05
213,5.287966e-08,2.865731e-05
214,4.947561e-08,2.682740e-05
215,4.628761e-08,2.511148e-05
216,4.330208e-08,2.350319e-05
217,4.050634e-08,2.199605e-05
218,3.788873e-08,2.058303e-05
219,3.543777e-08,1.925982e-05
220,3.314311e-08,1.802052e-05
221,3.099526e-08,1.685883e-05
222,2.898449e-08,1.577184e-05
223,2.710246e-08,1.475372e-05
224,2.534097e-08,1.380027e-05
225,2.369239e-08,1.290792e-05
226,2.214965e-08,1.207242e-05
227,2.070611e-08,1.129032e-05
228,1.935529e-08,1.055876e-05
229,1.809147e-08,9.873592e-06
230,1.690908e-08,9.232222e-06
231,1.580280e-08,8.643589e-06
232,1.476795e-08,8.092801e-06
233,1.379985e-08,7.575659e-06
234,1.289438e-08,7.090584e-06
235,1.204747e-08,6.635968e-06
236,1.125513e-08,6.208563e-06
237,1.051429e-08,5.808850e-06
238,9.821345e-09,5.433646e-06
239,9.173385e-09,5.082346e-06
240,8.567275e-09,4.752358e-06
241,8.000423e-09,4.442897e-06
242,7.470702e-09,4.154315e-06
243,6.975077e-09,3.882805e-06
244,6.511697e-09,3.628758e-06
245,6.078444e-09,3.390876e-06
246,5.673343e-09,3.168067e-06
247,5.294700e-09,2.959970e-06
248,4.940559e-09,2.764315e-06
249,4.609424e-09,2.581237e-06
250,4.299876e-09,2.410007e-06
